No,County,Confirmed,Date
1.,Alba,431,2020-06-26
2.,Arad,706,2020-06-26
3.,Argeș,704,2020-06-26
4.,Bacău,608,2020-06-26
5.,Bihor,668,2020-06-26
6.,Bistrița-Năsăud,503,2020-06-26
7.,Botoșani,995,2020-06-26
8.,Brașov,1351,2020-06-26
9.,Brăila,161,2020-06-26
10.,Buzău,479,2020-06-26
11.,Caraș-Severin,113,2020-06-26
12.,Călărași,163,2020-06-26
13.,Cluj,669,2020-06-26
14.,Constanța,411,2020-06-26
15.,Covasna,273,2020-06-26
16.,Dâmbovița,477,2020-06-26
17.,Dolj,277,2020-06-26
18.,Galați,821,2020-06-26
19.,Giurgiu,265,2020-06-26
20.,Gorj,212,2020-06-26
21.,Harghita,302,2020-06-26
22.,Hunedoara,652,2020-06-26
23.,Ialomița,420,2020-06-26
24.,Iași,957,2020-06-26
25.,Ilfov,709,2020-06-26
26.,Maramureș,154,2020-06-26
27.,Mehedinți,181,2020-06-26
28.,Mureș,728,2020-06-26
29.,Neamț,957,2020-06-26
30.,Olt,186,2020-06-26
31.,Prahova,344,2020-06-26
32.,Satu Mare,76,2020-06-26
33.,Sălaj,114,2020-06-26
34.,Sibiu,632,2020-06-26
35.,Suceava,3983,2020-06-26
36.,Teleorman,158,2020-06-26
37.,Timiș,516,2020-06-26
38.,Tulcea,176,2020-06-26
39.,Vaslui,173,2020-06-26
40.,Vâlcea,49,2020-06-26
41.,Vrancea,992,2020-06-26
42.,Mun. București,2918,2020-06-26
43.,Not identified,33,2020-06-26
